"x1","x2","x3","x4","x5","z"
2,1,0,3,1,4.40944984947502
0,0,1,4,0,0.574335894312255
1,0,1,2,2,0.377849672491703
2,0,2,3,1,-0.648129104657731
1,1,2,0,1,1.06679459895182
1,0,1,4,0,-0.261287309835013
2,1,1,3,0,5.57432718173269
1,0,2,4,2,0.349156726840072
2,1,2,4,0,6.6429516515661
1,0,1,3,2,1.98997217817287
2,1,1,1,2,8.81542226750503
2,0,2,3,1,7.58650336051009
0,0,0,2,0,1.09818684767879
1,1,2,4,0,2.94713190038734
1,1,0,4,0,0.49598024128399
2,0,2,3,1,3.49999926002976
1,0,0,1,2,1.46449883877502
0,0,2,3,2,7.13109398258217
0,1,1,3,0,7.16415542811278
2,0,2,3,2,3.77538226496442
1,1,2,2,2,2.71286183514473
0,1,2,0,0,9.58213102285736
1,1,1,3,2,2.15692147277169
2,1,2,3,2,6.6647495010137
2,0,1,1,1,3.39271628594152
1,1,1,3,2,4.40478663672464
1,1,2,4,0,4.13346564832598
0,1,1,0,0,3.93918013065398
2,0,2,0,2,2.07833485615382
0,0,1,3,1,0.32136358583688
2,1,1,1,0,1.86826948721708
2,1,0,1,1,5.04141928999966
2,1,2,0,2,6.22229478664861
0,1,0,2,1,2.80568370533635
2,0,0,0,1,0.304930375119845
0,1,1,4,1,5.08377347583966
0,1,0,1,0,1.16679774716037
0,1,0,1,2,1.84648110303034
0,0,2,0,2,8.42821875213317
1,0,2,0,2,1.44583851031998
1,0,0,0,0,0.190556601408348
1,1,0,3,0,12.8116900429251
2,0,2,4,2,4.15757438779649
0,1,1,2,2,5.1192165397279
0,0,1,0,2,-2.0138441351864
2,1,2,4,1,23.9900259382718
0,0,2,4,2,1.20702444625364
2,1,2,4,2,3.5384017599397
1,1,0,4,0,3.06571184170982
2,0,1,0,0,-0.535377347746997
1,0,0,1,1,-0.554370043789568
0,0,0,4,1,2.74093598761807
2,1,0,2,0,4.26351788791075
2,1,0,1,2,0.773344866030574
1,0,1,2,0,-0.434742802717204
1,1,1,4,2,2.44571593922721
2,1,0,0,1,2.34286612216307
1,1,0,3,2,-0.109357228030403
0,1,0,2,1,10.7517712386445
1,1,2,1,1,2.37833713329178
1,1,2,3,2,5.88657100442139
1,0,0,3,0,-0.758322447872155
2,1,1,4,0,3.32906516283343
2,0,0,1,2,1.46752863612355
0,1,0,4,1,3.58396796115922
2,1,1,4,1,2.92428698147132
1,0,0,1,1,1.48733025376046
2,1,0,3,2,7.90020121956795
2,0,2,1,2,3.45015032622735
2,1,0,2,2,2.61361743074944
0,0,0,1,2,1.42399725999116
1,1,0,4,1,2.14278759446025
2,0,0,1,2,0.770576101716231
0,0,1,3,1,3.87606442627493
0,1,2,1,1,11.4071080669214
2,1,2,1,0,5.37016836800313
2,0,2,2,1,4.13582455968005
2,1,2,0,0,3.26872758393477
0,1,1,1,0,1.84006531984438
0,1,1,4,1,4.50465704915748
2,1,1,1,1,1.22159575245241
1,1,1,0,1,1.26367748601985
1,1,1,2,2,4.76485899870162
1,0,1,1,0,0.0315294558489595
0,1,0,0,1,3.27143835765955
2,0,2,1,0,2.1744737884871
1,1,0,1,0,1.79556100218597
1,1,2,2,1,1.60854911061809
2,0,1,2,2,2.5997091141382
2,0,0,3,0,0.941213347523022
2,1,2,4,0,5.01611409806372
0,0,2,2,0,0.265869671933338
2,0,2,4,2,2.64610735274068
2,1,0,1,0,1.38455775218381
0,1,2,0,0,2.81523232456427
0,1,0,0,2,3.0946483086235
0,1,1,4,2,3.93465445801412
0,1,0,3,1,3.89338736645717
1,0,1,3,1,0.31003025757717
2,1,0,4,1,6.01585952806986
2,1,1,1,1,6.35648897228558
2,0,2,4,0,0.992749771205446
0,0,2,4,0,1.1811346939605
2,0,0,2,0,2.71049103011949
0,1,0,1,2,0.635183862463432
1,0,1,2,1,-1.45473072314449
1,1,1,1,1,3.99769059031694
1,0,1,1,2,0.736700475899986
1,1,2,4,1,0.108671037193568
1,0,0,2,2,1.03050555567656
1,1,2,3,0,2.31289441272188
1,1,1,4,1,5.73531445736086
0,0,2,4,1,2.35121494094464
0,1,1,2,2,4.16584887286357
0,1,2,0,2,4.56912906830086
1,1,1,3,2,2.51566212308446
0,1,0,0,2,0.345636557212455
2,0,0,3,0,7.25525200977573
0,0,0,0,1,1.89400164228853
1,0,0,4,2,2.22613570448041
0,0,1,4,0,3.84760391876808
0,1,0,4,0,2.56410993837095
1,0,1,4,0,-1.28261645716481
0,0,0,0,1,1.09334898775602
1,0,0,0,2,0.169750160767424
1,1,2,3,0,3.93634576875712
0,1,1,2,2,2.60064807224236
0,0,1,1,0,3.31520133494625
0,1,1,2,2,3.70259235175071
1,1,0,4,1,3.46090878396999
2,0,1,2,0,0.021945501271936
0,0,2,1,0,1.08611935492508
1,0,0,1,1,-1.76165222222492
2,1,0,4,1,2.26650714809385
2,0,2,1,2,4.41154586726638
0,1,0,1,1,3.50215645453104
1,0,0,2,0,0.785390386908925
2,0,2,0,0,3.46263810553014
0,0,1,3,2,1.38975022526525
1,0,0,3,0,-0.141722749021601
1,0,1,3,1,2.21248727569567
0,1,2,0,0,13.6782989558824
0,1,1,2,2,2.12749000127863
1,0,1,0,2,-0.312954513013595
1,1,1,1,2,2.28856503991783
2,0,0,2,1,1.3274988366197
0,1,2,1,1,2.13291539084305
0,0,0,0,2,1.15601994260351
2,0,1,4,2,2.49501982392759
0,0,2,2,2,1.64482023681387
1,1,1,0,0,4.61501402737365
0,0,2,1,2,5.55069218790214
2,0,2,3,1,4.04947625907344
1,0,2,4,2,0.0565466126740597
0,0,1,2,2,2.22677397310877
0,1,0,4,1,5.8881084241972
1,0,2,0,1,-1.47229538201367
0,0,0,4,2,-1.52913816741865
0,1,1,1,1,6.96861127704216
2,0,1,0,2,2.74739577758169
1,1,0,3,2,4.11080748273794
0,0,2,3,2,3.59802046893371
1,0,2,4,0,1.56246938354559
1,1,2,1,2,2.97099671361552
2,0,0,2,0,-0.0580744011867123
2,1,2,4,1,4.39219808113466
0,1,2,4,1,5.00394501646929
2,0,0,4,1,0.97843014225232
1,0,0,2,0,-0.896461603545915
2,0,1,4,2,2.46592085428391
1,0,0,1,0,1.19452729816331
2,0,1,3,1,0.613843095399717
0,1,2,0,2,3.76232204678107
2,1,1,3,1,3.77362152449484
2,0,1,4,0,2.64879786912155
1,1,2,4,0,6.8642802399058
0,1,1,1,1,4.60736467767739
2,1,2,4,0,4.26402530749859
2,0,1,4,2,-0.454720576211017
1,0,1,0,1,-0.966632717064148
1,0,1,4,0,2.99404564656084
0,1,2,3,1,3.31186933170439
1,1,2,2,0,7.55036731325764
1,0,0,4,1,1.50148293683779
1,1,0,2,1,1.48745790778839
0,0,1,3,0,0.213639980594668
2,1,0,0,2,3.52918761752028
2,0,1,3,2,3.10889616763961
0,1,2,3,2,3.75626010642088
0,0,2,0,2,4.5305727070728
1,1,0,4,0,2.61934077434556
1,1,0,3,2,2.86630834144506
1,1,0,1,1,-0.334400499153302
0,1,1,4,1,5.53990746116418
0,1,0,0,0,2.97046982963788
2,0,1,4,0,1.65829742401319
1,1,0,3,2,5.26422593185064
2,1,1,3,2,5.40360183896349
2,1,1,1,0,4.14186445841916
1,1,2,0,1,1.36695846061528
0,1,0,0,0,3.54577934242213
1,0,2,2,1,1.22999577537703
2,0,2,3,0,1.80276328043268
2,0,1,1,0,4.83334884209931
0,0,1,1,1,2.0409883977233
0,1,2,3,0,2.08905229314751
0,0,1,1,2,2.59171222633051
0,1,2,3,2,5.7357464149154
0,1,0,0,2,2.07895525850581
1,1,0,1,1,2.21237311051168
0,1,2,2,2,7.86291385772325
2,0,2,2,2,6.75773836462157
1,1,0,0,2,3.82427550825112
1,1,0,0,0,1.65176390329378
2,0,1,4,1,2.39054885273252
1,0,0,4,2,0.487287927349058
1,1,0,0,1,5.43235811730389
2,1,0,3,2,3.99595017758062
1,1,0,1,1,3.25323900961653
0,0,0,1,1,1.77438624237872
1,1,1,3,2,2.09021180772838
1,0,2,4,0,0.491366850281189
0,0,2,3,2,0.81521418354753
0,0,0,3,2,3.05807830472823
2,0,2,4,1,0.651416280418997
1,0,1,3,2,1.31237978043412
2,1,0,4,0,1.50616407562642
1,0,2,0,2,0.260166348345732
0,0,2,2,2,2.55231707259998
2,0,1,3,0,3.47888885360718
1,0,1,0,1,-1.91390009899367
2,0,2,2,0,1.39405932984814
0,1,1,1,0,2.15496398125061
0,0,1,3,0,1.14065665985074
1,0,0,2,2,1.00575050094869
1,1,0,1,1,0.0398227645865984
2,0,0,0,1,2.16317875286454
1,1,2,4,2,7.10079887973691
1,1,1,2,0,3.40618574255944
0,1,2,2,0,1.32018554418532
0,1,0,3,0,0.61200540010618
2,0,2,0,2,-0.332165998481312
2,0,1,3,1,0.908360413676332
2,1,1,2,0,7.91204925550242
0,0,1,2,2,3.10221100600435
2,1,1,0,0,10.0753867419283
2,1,0,3,1,3.78852401636637
1,0,1,0,1,1.91794679724438
2,1,0,1,2,1.66987344695302
0,0,0,0,1,1.197384006026
0,0,1,1,1,1.21044973364036
1,1,0,2,2,1.50386507932836
0,0,0,3,2,3.29075461148465
1,1,1,1,1,2.6331768765899
2,0,1,2,1,1.84020502518119
0,1,1,1,2,4.03160543071372
0,1,0,2,0,1.55491236640495
1,1,1,0,2,1.07987782143537
0,0,0,4,0,1.65149159441575
1,1,2,0,1,3.76072654567548
2,1,0,0,0,-0.357761934078565
2,1,2,0,2,5.41982382267082
1,1,0,3,0,1.02147658433813
0,1,1,4,1,6.46293215863254
1,1,2,4,0,3.5675973153489
2,1,2,0,1,18.4257320920342
2,1,2,4,1,4.37060527849111
1,1,0,2,2,1.4475365074598
0,1,1,4,2,7.67696623993815
1,1,0,4,1,2.31251845114057
2,1,2,4,1,2.37819107306869
1,0,2,1,0,-0.803953959588238
1,1,1,2,1,3.16211560754178
2,0,2,1,2,1.40520662154476
1,1,2,2,0,8.26045809620839
2,1,2,3,0,6.34778300484752
2,1,1,2,0,0.957254116778317
0,1,0,1,1,3.04605125151095
2,1,0,2,0,1.8293404545463
2,0,1,1,2,2.58408491649346
2,1,0,1,1,0.0705243330969343
0,1,1,4,2,6.42240939143864
0,0,2,4,2,1.38357906472574
2,0,0,2,2,1.30889162685653
1,0,2,2,0,-1.15380720291093
1,1,1,4,2,3.16045100101968
2,0,0,2,0,2.8028692099789
0,0,1,4,0,2.02744629869058
0,0,1,2,1,5.77007326082336
1,0,0,4,1,-0.434378049734857
0,1,2,0,1,5.27596777645829
2,1,0,4,0,4.05836807387319
0,1,2,4,1,2.93537100601579
2,1,0,4,1,7.0312473814547
1,1,2,4,1,2.31634582168595
0,1,1,4,1,3.65104007693707
1,0,0,0,0,-1.38947868846843
2,0,1,4,0,-0.740861181335519
1,1,0,2,2,2.33150192702214
0,1,1,2,1,3.93341867456438
1,0,0,1,0,-1.41069842810817
2,1,1,2,1,1.93730857493426
1,1,0,2,1,1.92426206886956
2,0,1,3,2,1.74741224536656
1,1,1,1,2,2.8243242173205
1,0,0,4,0,0.355282325386071
2,0,1,0,2,2.02603019603522
2,0,0,2,0,0.503064795040424
0,0,1,1,2,1.69833303587005
