"","x1","x2","x3","x4","x5","z"
"1","2","1","0","2","2","3"
"2","0","0","1","2","0","0"
"3","1","0","1","1","2","1"
"4","2","0","2","2","2","2"
"5","1","1","2","0","2","2"
"6","1","0","1","2","0","3"
"7","2","1","1","2","1","2"
"8","1","0","2","2","3","3"
"9","2","1","2","2","0","3"
"10","1","0","1","1","3","0"
"11","2","1","1","0","3","3"
"12","2","0","2","2","2","3"
"13","0","0","0","1","0","1"
"14","1","1","2","2","0","2"
"15","1","1","0","2","0","0"
"16","2","0","2","2","1","3"
"17","1","0","0","0","3","0"
"18","0","0","2","2","3","0"
"19","0","1","1","1","0","0"
"20","2","0","2","2","3","3"
"21","1","1","2","1","3","3"
"22","0","1","2","0","0","3"
"23","1","1","1","2","2","0"
"24","2","1","2","1","3","3"
"25","2","0","1","0","2","1"
"26","1","1","1","2","3","1"
"27","1","1","2","2","0","2"
"28","0","1","1","0","0","0"
"29","2","0","2","0","3","2"
"30","0","0","1","1","1","2"
"31","2","1","1","0","0","0"
"32","2","1","0","1","1","2"
"33","2","1","2","0","3","3"
"34","0","1","0","1","1","1"
"35","2","0","0","0","1","0"
"36","0","1","1","2","2","0"
"37","0","1","0","0","0","0"
"38","0","1","0","0","3","0"
"39","0","0","2","0","3","2"
"40","1","0","2","0","3","2"
"41","1","0","0","0","0","1"
"42","1","1","0","2","0","3"
"43","2","0","2","2","3","2"
"44","0","1","1","1","3","2"
"45","0","0","1","0","3","1"
"46","2","1","2","2","2","3"
"47","0","0","2","2","3","1"
"48","2","1","2","2","3","3"
"49","1","1","0","2","1","0"
"50","2","0","1","0","0","1"
"51","1","0","0","0","1","2"
"52","0","0","0","2","2","0"
"53","2","1","0","1","0","1"
"54","2","1","0","1","3","1"
"55","1","0","1","1","0","1"
"56","1","1","1","2","3","1"
"57","2","1","0","0","2","0"
"58","1","1","0","1","2","0"
"59","0","1","0","1","2","0"
"60","1","1","2","1","1","3"
"61","1","1","2","2","3","2"
